Shrink_neck
Shrink_shoulder
Shrink_upperArm
Shrink_elbow
Shrink_lowerArm
Shrink_wrist
Shrink_hand
Shrink_gloveOpen
Shrink_gloveHalf
Shrink_finger
Shrink_upperChestFront
Shrink_upperChestRear
Shrink_chest
Shrink_spine
Shrink_hips
Shrink_upperLeg
Shrink_knee
Shrink_lowerLeg
Shrink_ankle
Shrink_foot
